UserID,UserNo,IP Address,Date Ended,Q1.1. CQC number,Q4.1. Number of Devices,Q7.1. Not enough tablet devices for staff to use for this purpose,Q7.2. Our tablet devices are not good enough (ie they're too old / slow / do not have the right features),Q7.3. Our tablets are reserved for - or locked down to - other things and cannot be used for remote consultations,(CQC)_Care home beds
140000055,56,111.111.11.66,44092,1-1000000055,3,FALSE,FALSE,FALSE,8
140000056,57,111.111.11.67,44092,1-1000000056,2,FALSE,FALSE,TRUE,50
140000057,58,111.111.11.68,44092,1-1000000057,None,TRUE,FALSE,FALSE,45
140000058,59,111.111.11.69,44092,1-1000000058,4+,FALSE,FALSE,FALSE,89
140000059,60,111.111.11.70,44092,1-1000000059,3,TRUE,FALSE,FALSE,61
140000060,61,111.111.11.71,44092,1-1000000060,None,FALSE,FALSE,FALSE,99
140000061,62,111.111.11.72,44092,1-1000000061,None,TRUE,FALSE,TRUE,73
140000062,63,111.111.11.73,44092,1-1000000062,None,FALSE,TRUE,FALSE,76
140000063,64,111.111.11.74,44092,1-1000000063,4+,FALSE,TRUE,TRUE,85
140000064,65,111.111.11.75,44092,1-1000000064,4+,FALSE,TRUE,FALSE,44
140000065,66,111.111.11.76,44092,1-1000000065,4+,TRUE,TRUE,FALSE,28
140000066,67,111.111.11.77,44092,1-1000000066,None,FALSE,TRUE,FALSE,35
140000067,68,111.111.11.78,44092,1-1000000067,3,TRUE,TRUE,FALSE,15
140000068,69,111.111.11.79,44092,1-1000000068,4+,TRUE,TRUE,TRUE,68
140000069,70,111.111.11.80,44092,1-1000000069,None,FALSE,FALSE,TRUE,86
140000070,71,111.111.11.81,44092,1-1000000070,2,TRUE,FALSE,FALSE,11
140000071,72,111.111.11.82,44092,1-1000000071,3,TRUE,TRUE,FALSE,18
140000072,73,111.111.11.83,44092,1-1000000072,2,FALSE,TRUE,TRUE,54
140000073,74,111.111.11.84,44092,1-1000000073,1,TRUE,TRUE,FALSE,42
140000074,75,111.111.11.85,44092,1-1000000074,3,FALSE,TRUE,FALSE,30
140000075,76,111.111.11.86,44092,1-1000000075,3,FALSE,FALSE,FALSE,85
140000076,77,111.111.11.87,44092,1-1000000076,3,FALSE,TRUE,TRUE,72
140000077,78,111.111.11.88,44092,1-1000000077,None,TRUE,FALSE,TRUE,5
140000078,79,111.111.11.89,44092,1-1000000078,1,FALSE,TRUE,FALSE,62
140000079,80,111.111.11.90,44092,1-1000000079,2,TRUE,TRUE,FALSE,44
140000080,81,111.111.11.91,44092,1-1000000080,2,TRUE,FALSE,FALSE,81
140000081,82,111.111.11.92,44092,1-1000000081,None,FALSE,FALSE,TRUE,18
140000082,83,111.111.11.93,44092,1-1000000082,4+,FALSE,TRUE,TRUE,96
140000083,84,111.111.11.94,44092,1-1000000083,3,TRUE,FALSE,FALSE,90
140000084,85,111.111.11.95,44092,1-1000000084,4+,TRUE,TRUE,FALSE,1
140000085,86,111.111.11.96,44092,1-1000000085,4+,TRUE,TRUE,TRUE,78
140000086,87,111.111.11.97,44092,1-1000000086,4+,FALSE,FALSE,TRUE,79
140000087,88,111.111.11.98,44092,1-1000000087,None,FALSE,FALSE,TRUE,20
140000088,89,111.111.11.99,44092,1-1000000088,None,FALSE,FALSE,FALSE,89
140000089,90,111.111.11.100,44092,1-1000000089,4+,FALSE,TRUE,TRUE,65
140000090,91,111.111.11.101,44092,1-1000000090,4+,TRUE,TRUE,TRUE,26
140000091,92,111.111.11.102,44092,1-1000000091,1,TRUE,TRUE,FALSE,83
140000092,93,111.111.11.103,44092,1-1000000092,4+,TRUE,TRUE,TRUE,53
140000093,94,111.111.11.104,44092,1-1000000093,2,TRUE,TRUE,TRUE,1
140000094,95,111.111.11.105,44092,1-1000000094,1,FALSE,FALSE,TRUE,17
140000095,96,111.111.11.106,44092,1-1000000095,4+,FALSE,TRUE,FALSE,6
140000096,97,111.111.11.107,44092,1-1000000096,4+,FALSE,FALSE,FALSE,76
140000097,98,111.111.11.108,44092,1-1000000097,1,FALSE,FALSE,FALSE,47
140000098,99,111.111.11.109,44092,1-1000000098,4+,TRUE,FALSE,TRUE,74
140000099,100,111.111.11.110,44092,1-1000000099,3,TRUE,FALSE,TRUE,69
140000100,101,111.111.11.111,44092,1-1000000100,4+,TRUE,TRUE,TRUE,33
140000101,102,111.111.11.112,44092,1-1000000101,None,TRUE,FALSE,FALSE,4
140000102,103,111.111.11.113,44092,1-1000000102,2,FALSE,TRUE,FALSE,80
140000103,104,111.111.11.114,44092,1-1000000103,2,FALSE,FALSE,FALSE,76
140000104,105,111.111.11.115,44092,1-1000000104,1,TRUE,TRUE,FALSE,18
140000105,106,111.111.11.116,44092,1-1000000105,3,TRUE,FALSE,FALSE,86
140000106,107,111.111.11.117,44092,1-1000000106,1,FALSE,TRUE,TRUE,40
140000107,108,111.111.11.118,44092,1-1000000107,None,TRUE,FALSE,FALSE,56
140000108,109,111.111.11.119,44092,1-1000000108,4+,TRUE,FALSE,FALSE,57
140000109,110,111.111.11.120,44092,1-1000000109,4+,FALSE,TRUE,FALSE,41
140000110,111,111.111.11.121,44092,1-1000000110,4+,TRUE,FALSE,FALSE,22
140000111,112,111.111.11.122,44092,1-1000000111,3,FALSE,FALSE,FALSE,65
140000112,113,111.111.11.123,44092,1-1000000112,4+,FALSE,FALSE,FALSE,20
140000113,114,111.111.11.124,44092,1-1000000113,2,TRUE,TRUE,FALSE,13
140000114,115,111.111.11.125,44092,1-1000000114,1,FALSE,TRUE,TRUE,42
140000115,116,111.111.11.126,44092,1-1000000115,3,FALSE,TRUE,TRUE,96
140000116,117,111.111.11.127,44092,1-1000000116,None,TRUE,FALSE,FALSE,45
140000117,118,111.111.11.128,44092,1-1000000117,1,FALSE,TRUE,FALSE,94
140000118,119,111.111.11.129,44092,1-1000000118,1,TRUE,FALSE,TRUE,68
140000119,120,111.111.11.130,44092,1-1000000119,4+,TRUE,FALSE,TRUE,44
140000120,121,111.111.11.131,44092,1-1000000120,4+,TRUE,FALSE,FALSE,70
140000121,122,111.111.11.132,44092,1-1000000121,3,FALSE,FALSE,FALSE,93
140000122,123,111.111.11.133,44092,1-1000000122,None,FALSE,FALSE,TRUE,80
140000123,124,111.111.11.134,44092,1-1000000123,None,TRUE,FALSE,FALSE,88
140000124,125,111.111.11.135,44092,1-1000000124,2,FALSE,FALSE,TRUE,18
140000125,126,111.111.11.136,44092,1-1000000125,3,FALSE,FALSE,TRUE,13
140000126,127,111.111.11.137,44092,1-1000000126,2,FALSE,TRUE,FALSE,17
140000127,128,111.111.11.138,44092,1-1000000127,2,FALSE,TRUE,TRUE,40
140000128,129,111.111.11.139,44092,1-1000000128,1,TRUE,TRUE,TRUE,0
140000129,130,111.111.11.140,44092,1-1000000129,1,TRUE,TRUE,TRUE,57
140000130,131,111.111.11.141,44092,1-1000000130,3,FALSE,TRUE,FALSE,19
140000131,132,111.111.11.142,44092,1-1000000131,None,FALSE,FALSE,FALSE,19
140000132,133,111.111.11.143,44092,1-1000000132,None,FALSE,FALSE,FALSE,11
140000133,134,111.111.11.144,44092,1-1000000133,4+,FALSE,TRUE,TRUE,12
140000134,135,111.111.11.145,44092,1-1000000134,2,TRUE,FALSE,TRUE,60
140000135,136,111.111.11.146,44092,1-1000000135,2,TRUE,TRUE,FALSE,73
140000136,137,111.111.11.147,44092,1-1000000136,1,FALSE,FALSE,FALSE,70
140000137,138,111.111.11.148,44092,1-1000000137,3,TRUE,FALSE,FALSE,50
140000138,139,111.111.11.149,44092,1-1000000138,2,TRUE,FALSE,FALSE,60
140000139,140,111.111.11.150,44092,1-1000000139,1,TRUE,TRUE,FALSE,18
140000140,141,111.111.11.151,44092,1-1000000140,3,FALSE,FALSE,FALSE,39
140000141,142,111.111.11.152,44092,1-1000000141,4+,FALSE,FALSE,TRUE,53
140000142,143,111.111.11.153,44092,1-1000000142,1,FALSE,TRUE,TRUE,79
140000143,144,111.111.11.154,44092,1-1000000143,None,TRUE,TRUE,TRUE,90
140000144,145,111.111.11.155,44092,1-1000000144,3,TRUE,FALSE,FALSE,15
140000145,146,111.111.11.156,44092,1-1000000145,4+,TRUE,FALSE,TRUE,89
140000146,147,111.111.11.157,44092,1-1000000146,3,FALSE,TRUE,TRUE,75
140000147,148,111.111.11.158,44092,1-1000000147,4+,FALSE,FALSE,FALSE,96
140000148,149,111.111.11.159,44092,1-1000000148,3,TRUE,TRUE,FALSE,11
140000149,150,111.111.11.160,44092,1-1000000149,2,TRUE,TRUE,TRUE,39
140000150,151,111.111.11.161,44092,1-1000000150,None,FALSE,FALSE,TRUE,97
140000151,152,111.111.11.162,44092,1-1000000151,4+,TRUE,TRUE,TRUE,22
140000152,153,111.111.11.163,44092,1-1000000152,4+,FALSE,FALSE,FALSE,72
140000153,154,111.111.11.164,44092,1-1000000153,1,TRUE,TRUE,FALSE,31
140000154,155,111.111.11.165,44092,1-1000000154,None,FALSE,TRUE,TRUE,96
140000155,156,111.111.11.166,44092,1-1000000155,4+,FALSE,FALSE,FALSE,91
140000156,157,111.111.11.167,44092,1-1000000156,2,FALSE,FALSE,TRUE,92
140000157,158,111.111.11.168,44092,1-1000000157,4+,TRUE,TRUE,TRUE,26
140000158,159,111.111.11.169,44092,1-1000000158,None,FALSE,TRUE,TRUE,54
140000159,160,111.111.11.170,44092,1-1000000159,1,TRUE,FALSE,FALSE,31
140000160,161,111.111.11.171,44092,1-1000000160,1,TRUE,TRUE,TRUE,18
140000161,162,111.111.11.172,44092,1-1000000161,4+,FALSE,TRUE,TRUE,90
140000162,163,111.111.11.173,44092,1-1000000162,2,FALSE,FALSE,FALSE,20
140000163,164,111.111.11.174,44092,1-1000000163,3,FALSE,FALSE,FALSE,96
140000164,165,111.111.11.175,44092,1-1000000164,None,TRUE,TRUE,FALSE,56
140000165,166,111.111.11.176,44092,1-1000000165,None,TRUE,FALSE,FALSE,9
140000166,167,111.111.11.177,44092,1-1000000166,None,FALSE,TRUE,FALSE,79
140000167,168,111.111.11.178,44092,1-1000000167,2,FALSE,FALSE,TRUE,59
140000168,169,111.111.11.179,44092,1-1000000168,1,TRUE,TRUE,TRUE,26
140000169,170,111.111.11.180,44092,1-1000000169,4+,TRUE,FALSE,TRUE,93
140000170,171,111.111.11.181,44092,1-1000000170,None,FALSE,TRUE,TRUE,2
140000171,172,111.111.11.182,44092,1-1000000171,2,FALSE,TRUE,TRUE,94
140000172,173,111.111.11.183,44092,1-1000000172,3,FALSE,TRUE,FALSE,53
140000173,174,111.111.11.184,44092,1-1000000173,None,FALSE,TRUE,FALSE,55
140000174,175,111.111.11.185,44092,1-1000000174,2,TRUE,FALSE,TRUE,66
140000175,176,111.111.11.186,44092,1-1000000175,3,FALSE,TRUE,FALSE,37
140000176,177,111.111.11.187,44092,1-1000000176,3,FALSE,TRUE,FALSE,15
140000177,178,111.111.11.188,44092,1-1000000177,4+,FALSE,TRUE,FALSE,35
140000178,179,111.111.11.189,44092,1-1000000178,2,FALSE,TRUE,TRUE,38
140000179,180,111.111.11.190,44092,1-1000000179,4+,FALSE,FALSE,TRUE,48
140000180,181,111.111.11.191,44092,1-1000000180,3,FALSE,TRUE,TRUE,68
140000181,182,111.111.11.192,44092,1-1000000181,1,TRUE,FALSE,FALSE,43
140000182,183,111.111.11.193,44092,1-1000000182,4+,TRUE,FALSE,TRUE,89
140000183,184,111.111.11.194,44092,1-1000000183,1,TRUE,FALSE,TRUE,84
140000184,185,111.111.11.195,44092,1-1000000184,2,TRUE,FALSE,TRUE,11
140000185,186,111.111.11.196,44092,1-1000000185,3,FALSE,TRUE,FALSE,64
140000186,187,111.111.11.197,44092,1-1000000186,3,FALSE,TRUE,FALSE,95
140000187,188,111.111.11.198,44092,1-1000000187,2,TRUE,TRUE,FALSE,44
140000188,189,111.111.11.199,44092,1-1000000188,3,FALSE,TRUE,FALSE,15
140000189,190,111.111.11.200,44092,1-1000000189,4+,FALSE,TRUE,FALSE,48
140000190,191,111.111.11.201,44092,1-1000000190,None,TRUE,FALSE,TRUE,31
140000191,192,111.111.11.202,44092,1-1000000191,4+,FALSE,FALSE,FALSE,17
140000192,193,111.111.11.203,44092,1-1000000192,3,TRUE,TRUE,FALSE,60
140000193,194,111.111.11.204,44092,1-1000000193,1,FALSE,TRUE,TRUE,38
140000194,195,111.111.11.205,44092,1-1000000194,None,TRUE,FALSE,TRUE,49
140000195,196,111.111.11.206,44092,1-1000000195,4+,TRUE,FALSE,FALSE,25
140000196,197,111.111.11.207,44092,1-1000000196,None,FALSE,FALSE,TRUE,98
140000197,198,111.111.11.208,44092,1-1000000197,4+,TRUE,TRUE,TRUE,25
140000198,199,111.111.11.209,44092,1-1000000198,2,FALSE,FALSE,TRUE,80
140000199,200,111.111.11.210,44092,1-1000000199,4+,FALSE,TRUE,TRUE,67
140000200,201,111.111.11.211,44092,1-1000000200,None,TRUE,TRUE,FALSE,75
140000201,202,111.111.11.212,44092,1-1000000201,1,TRUE,FALSE,TRUE,93
140000202,203,111.111.11.213,44092,1-1000000202,2,FALSE,FALSE,FALSE,88
140000203,204,111.111.11.214,44092,1-1000000203,3,FALSE,TRUE,FALSE,34
140000204,205,111.111.11.215,44092,1-1000000204,2,FALSE,FALSE,FALSE,27
140000205,206,111.111.11.216,44092,1-1000000205,3,TRUE,FALSE,TRUE,29
140000206,207,111.111.11.217,44092,1-1000000206,3,TRUE,TRUE,TRUE,6
140000207,208,111.111.11.218,44092,1-1000000207,3,FALSE,FALSE,FALSE,35
140000208,209,111.111.11.219,44092,1-1000000208,2,FALSE,FALSE,FALSE,38
140000209,210,111.111.11.220,44092,1-1000000209,2,TRUE,TRUE,FALSE,59
140000210,211,111.111.11.221,44092,1-1000000210,1,TRUE,TRUE,FALSE,90
140000211,212,111.111.11.222,44092,1-1000000211,None,FALSE,FALSE,TRUE,72
140000212,213,111.111.11.223,44092,1-1000000212,3,FALSE,TRUE,FALSE,83
140000213,214,111.111.11.224,44092,1-1000000213,3,TRUE,FALSE,TRUE,70
140000214,215,111.111.11.225,44092,1-1000000214,1,FALSE,FALSE,FALSE,71
140000215,216,111.111.11.226,44092,1-1000000215,None,FALSE,TRUE,FALSE,90
140000216,217,111.111.11.227,44092,1-1000000216,2,FALSE,TRUE,TRUE,100
140000217,218,111.111.11.228,44092,1-1000000217,None,FALSE,TRUE,TRUE,48
140000218,219,111.111.11.229,44092,1-1000000218,None,FALSE,FALSE,FALSE,62
140000219,220,111.111.11.230,44092,1-1000000219,1,TRUE,FALSE,TRUE,51
140000220,221,111.111.11.231,44092,1-1000000220,1,TRUE,TRUE,FALSE,36
140000221,222,111.111.11.232,44092,1-1000000221,2,FALSE,TRUE,TRUE,51
140000222,223,111.111.11.233,44092,1-1000000222,None,FALSE,FALSE,TRUE,76
140000223,224,111.111.11.234,44092,1-1000000223,1,TRUE,TRUE,TRUE,56
140000224,225,111.111.11.235,44092,1-1000000224,3,TRUE,FALSE,TRUE,46
140000225,226,111.111.11.236,44092,1-1000000225,1,TRUE,TRUE,FALSE,21
140000226,227,111.111.11.237,44092,1-1000000226,2,TRUE,FALSE,FALSE,28
140000227,228,111.111.11.238,44092,1-1000000227,1,FALSE,FALSE,FALSE,91
140000228,229,111.111.11.239,44092,1-1000000228,4+,FALSE,FALSE,FALSE,49
140000229,230,111.111.11.240,44092,1-1000000229,1,FALSE,FALSE,TRUE,94
140000230,231,111.111.11.241,44092,1-1000000230,1,TRUE,FALSE,TRUE,34
140000231,232,111.111.11.242,44092,1-1000000231,1,FALSE,FALSE,FALSE,73
140000232,233,111.111.11.243,44092,1-1000000232,None,FALSE,TRUE,FALSE,81
140000233,234,111.111.11.244,44092,1-1000000233,2,TRUE,TRUE,TRUE,98
140000234,235,111.111.11.245,44092,1-1000000234,2,TRUE,FALSE,TRUE,91
140000235,236,111.111.11.246,44092,1-1000000235,1,FALSE,FALSE,FALSE,85
140000236,237,111.111.11.247,44092,1-1000000236,None,TRUE,TRUE,TRUE,76
140000237,238,111.111.11.248,44092,1-1000000237,2,FALSE,FALSE,TRUE,74
140000238,239,111.111.11.249,44092,1-1000000238,1,TRUE,FALSE,FALSE,45
140000239,240,111.111.11.250,44092,1-1000000239,2,FALSE,FALSE,FALSE,89
140000240,241,111.111.11.251,44092,1-1000000240,4+,TRUE,FALSE,TRUE,14
140000241,242,111.111.11.252,44092,1-1000000241,3,FALSE,FALSE,TRUE,11
140000242,243,111.111.11.253,44092,1-1000000242,None,TRUE,FALSE,FALSE,22
140000243,244,111.111.11.254,44092,1-1000000243,2,FALSE,FALSE,TRUE,64
140000244,245,111.111.11.255,44092,1-1000000244,4+,FALSE,TRUE,FALSE,42
140000245,246,111.111.11.256,44092,1-1000000245,None,FALSE,FALSE,TRUE,70
140000246,247,111.111.11.257,44092,1-1000000246,None,TRUE,TRUE,TRUE,24
140000247,248,111.111.11.258,44092,1-1000000247,2,FALSE,TRUE,TRUE,34
140000248,249,111.111.11.259,44092,1-1000000248,4+,FALSE,TRUE,TRUE,34
140000249,250,111.111.11.260,44092,1-1000000249,None,FALSE,TRUE,TRUE,82
140000250,251,111.111.11.261,44092,1-1000000250,None,TRUE,FALSE,FALSE,33
140000251,252,111.111.11.262,44092,1-1000000251,3,FALSE,FALSE,TRUE,54
140000252,253,111.111.11.263,44092,1-1000000252,None,FALSE,FALSE,FALSE,39
140000253,254,111.111.11.264,44092,1-1000000253,3,TRUE,FALSE,TRUE,28
140000254,255,111.111.11.265,44092,1-1000000254,1,TRUE,FALSE,TRUE,31
140000255,256,111.111.11.266,44092,1-1000000255,1,TRUE,TRUE,TRUE,56
140000256,257,111.111.11.267,44092,1-1000000256,None,TRUE,FALSE,FALSE,49
140000257,258,111.111.11.268,44092,1-1000000257,2,TRUE,FALSE,FALSE,2
140000258,259,111.111.11.269,44092,1-1000000258,1,FALSE,FALSE,TRUE,65
140000259,260,111.111.11.270,44092,1-1000000259,1,TRUE,FALSE,TRUE,42
140000260,261,111.111.11.271,44092,1-1000000260,1,TRUE,TRUE,FALSE,31
140000261,262,111.111.11.272,44092,1-1000000261,None,FALSE,FALSE,FALSE,77
140000262,263,111.111.11.273,44092,1-1000000262,1,TRUE,TRUE,TRUE,79
140000263,264,111.111.11.274,44092,1-1000000263,2,TRUE,TRUE,TRUE,57
140000264,265,111.111.11.275,44092,1-1000000264,3,FALSE,FALSE,TRUE,76
140000265,266,111.111.11.276,44092,1-1000000265,2,FALSE,FALSE,TRUE,13
140000266,267,111.111.11.277,44092,1-1000000266,2,TRUE,TRUE,FALSE,73
140000267,268,111.111.11.278,44092,1-1000000267,2,TRUE,TRUE,FALSE,16
140000268,269,111.111.11.279,44092,1-1000000268,None,TRUE,TRUE,TRUE,92
140000269,270,111.111.11.280,44092,1-1000000269,2,TRUE,TRUE,FALSE,32
140000270,271,111.111.11.281,44092,1-1000000270,2,FALSE,TRUE,FALSE,4
140000271,272,111.111.11.282,44092,1-1000000271,2,FALSE,FALSE,TRUE,80
140000272,273,111.111.11.283,44092,1-1000000272,None,TRUE,FALSE,FALSE,7
140000273,274,111.111.11.284,44092,1-1000000273,1,TRUE,TRUE,TRUE,42
140000274,275,111.111.11.285,44092,1-1000000274,1,TRUE,FALSE,TRUE,17
140000275,276,111.111.11.286,44092,1-1000000275,4+,FALSE,FALSE,TRUE,26
140000276,277,111.111.11.287,44092,1-1000000276,None,FALSE,FALSE,FALSE,84
140000277,278,111.111.11.288,44092,1-1000000277,3,TRUE,TRUE,TRUE,98
140000278,279,111.111.11.289,44092,1-1000000278,1,FALSE,TRUE,FALSE,100
140000279,280,111.111.11.290,44092,1-1000000279,4+,FALSE,TRUE,FALSE,80
140000280,281,111.111.11.291,44092,1-1000000280,3,FALSE,FALSE,FALSE,84
140000281,282,111.111.11.292,44092,1-1000000281,None,TRUE,FALSE,TRUE,63
140000282,283,111.111.11.293,44092,1-1000000282,1,FALSE,FALSE,FALSE,0
140000283,284,111.111.11.294,44092,1-1000000283,3,TRUE,TRUE,FALSE,64
140000284,285,111.111.11.295,44092,1-1000000284,4+,FALSE,FALSE,FALSE,2
140000285,286,111.111.11.296,44092,1-1000000285,4+,FALSE,TRUE,TRUE,95
140000286,287,111.111.11.297,44092,1-1000000286,4+,FALSE,TRUE,TRUE,20
140000287,288,111.111.11.298,44092,1-1000000287,1,FALSE,TRUE,TRUE,39
140000288,289,111.111.11.299,44092,1-1000000288,1,TRUE,FALSE,TRUE,42
140000289,290,111.111.11.300,44092,1-1000000289,1,FALSE,FALSE,TRUE,8
140000290,291,111.111.11.301,44092,1-1000000290,2,FALSE,TRUE,TRUE,85
140000291,292,111.111.11.302,44092,1-1000000291,2,FALSE,TRUE,TRUE,41
140000292,293,111.111.11.303,44092,1-1000000292,3,TRUE,FALSE,TRUE,71
140000293,294,111.111.11.304,44092,1-1000000293,3,FALSE,FALSE,FALSE,37
140000294,295,111.111.11.305,44092,1-1000000294,4+,FALSE,TRUE,TRUE,11
140000295,296,111.111.11.306,44092,1-1000000295,2,TRUE,TRUE,TRUE,5
140000296,297,111.111.11.307,44092,1-1000000296,4+,FALSE,TRUE,TRUE,61
140000297,298,111.111.11.308,44092,1-1000000297,None,FALSE,TRUE,FALSE,59
140000298,299,111.111.11.309,44092,1-1000000298,3,FALSE,TRUE,TRUE,59
140000299,300,111.111.11.310,44092,1-1000000299,None,TRUE,TRUE,TRUE,47
140000300,301,111.111.11.311,44092,1-1000000300,1,FALSE,TRUE,TRUE,21
140000301,302,111.111.11.312,44092,1-1000000301,3,FALSE,FALSE,TRUE,30
140000302,303,111.111.11.313,44092,1-1000000302,4+,TRUE,FALSE,TRUE,57
140000303,304,111.111.11.314,44092,1-1000000303,3,FALSE,FALSE,TRUE,48
140000304,305,111.111.11.315,44092,1-1000000304,2,TRUE,FALSE,FALSE,4
140000305,306,111.111.11.316,44092,1-1000000305,4+,FALSE,TRUE,TRUE,9
140000306,307,111.111.11.317,44092,1-1000000306,3,TRUE,TRUE,TRUE,52
140000307,308,111.111.11.318,44092,1-1000000307,1,TRUE,TRUE,FALSE,87
140000308,309,111.111.11.319,44092,1-1000000308,2,TRUE,TRUE,TRUE,25
140000309,310,111.111.11.320,44092,1-1000000309,1,FALSE,FALSE,TRUE,0
140000310,311,111.111.11.321,44092,1-1000000310,2,FALSE,FALSE,TRUE,50
140000311,312,111.111.11.322,44092,1-1000000311,3,FALSE,FALSE,FALSE,87
140000312,313,111.111.11.323,44092,1-1000000312,None,FALSE,TRUE,FALSE,62
140000313,314,111.111.11.324,44092,1-1000000313,3,FALSE,TRUE,FALSE,8
140000314,315,111.111.11.325,44092,1-1000000314,3,TRUE,FALSE,TRUE,22
140000315,316,111.111.11.326,44092,1-1000000315,4+,TRUE,FALSE,FALSE,57
