UserID,UserNo,IP Address,Date Ended,Q1.1. CQC number,Q7.1. Not enough tablet devices for staff to use for this purpose,"Q7.2. Our tablet devices are not good enough (ie they're too old / slow / do not have the right features)",Q7.3. Our tablets are reserved for - or locked down to - other things and cannot be used for remote consultations,(CQC)_Care home beds,(survey)_Q4.1. Current number of devices,Flag 1,Flag 2,Flag 3,Flag 4,Flag 5,Flag 6,Priority,Number of iPads
140000020,21,111.111.11.31,44092,1-1000000020,FALSE,FALSE,TRUE,53,3,More than 40 Residents,,Devices adequate,Two or more current devices,Has more than three devices,,Ineligible,0
140000021,22,111.111.11.32,44092,1-1000000021,FALSE,TRUE,FALSE,59,2,More than 40 Residents,,Devices adequate,Two or more current devices,Has less than three devices,Enough devices,Ineligible,0
140000022,23,111.111.11.33,44092,1-1000000022,FALSE,FALSE,FALSE,74,2,More than 40 Residents,,Devices adequate,Two or more current devices,Has less than three devices,Enough devices,Ineligible,0
140000023,24,111.111.11.34,44092,1-1000000023,FALSE,TRUE,TRUE,95,2,More than 40 Residents,,Devices adequate,Two or more current devices,Has less than three devices,Enough devices,Ineligible,0
140000024,25,111.111.11.35,44092,1-1000000024,FALSE,FALSE,TRUE,95,2,More than 40 Residents,,Devices adequate,Two or more current devices,Has less than three devices,Enough devices,Ineligible,0
140000025,26,111.111.11.36,44092,1-1000000025,TRUE,FALSE,TRUE,59,2,More than 40 Residents,,Devices adequate,Two or more current devices,Has less than three devices,Enough devices,Ineligible,0
140000026,27,111.111.11.37,44092,1-1000000026,TRUE,FALSE,TRUE,63,2,More than 40 Residents,,Devices adequate,Two or more current devices,Has less than three devices,Enough devices,Ineligible,0
140000027,28,111.111.11.38,44092,1-1000000027,TRUE,TRUE,FALSE,86,3,More than 40 Residents,,Devices adequate,Two or more current devices,Has more than three devices,,Ineligible,0
140000028,29,111.111.11.39,44092,1-1000000028,TRUE,TRUE,TRUE,2,3,Less than 40 Residents,,Devices adequate,,Has more than two devices,,Ineligible,0
140000029,30,111.111.11.40,44092,1-1000000029,TRUE,TRUE,FALSE,35,4,Less than 40 Residents,,Devices adequate,,Has more than two devices,,Ineligible,0
140000030,31,111.111.11.41,44092,1-1000000030,FALSE,TRUE,TRUE,65,2,More than 40 Residents,,Devices adequate,Two or more current devices,Has less than three devices,Enough devices,Ineligible,0
140000031,32,111.111.11.42,44092,1-1000000031,TRUE,FALSE,TRUE,18,4,Less than 40 Residents,,Devices adequate,,Has more than two devices,,Ineligible,0
140000032,33,111.111.11.43,44092,1-1000000032,FALSE,FALSE,FALSE,87,1,More than 40 Residents,,Devices adequate,Only one Current Device,,,Priority One,1
140000033,34,111.111.11.44,44092,1-1000000033,FALSE,TRUE,TRUE,45,3,More than 40 Residents,,Devices adequate,Two or more current devices,Has more than three devices,,Ineligible,0
140000034,35,111.111.11.45,44092,1-1000000034,TRUE,TRUE,TRUE,77,4,More than 40 Residents,,Devices adequate,Two or more current devices,Has more than three devices,,Ineligible,0
140000035,36,111.111.11.46,44092,1-1000000035,TRUE,TRUE,TRUE,74,0,More than 40 Residents,No current devices,,,,,Priority One,2
140000036,37,111.111.11.47,44092,1-1000000036,TRUE,TRUE,FALSE,72,4,More than 40 Residents,,Devices adequate,Two or more current devices,Has more than three devices,,Ineligible,0
140000037,38,111.111.11.48,44092,1-1000000037,FALSE,FALSE,TRUE,68,4,More than 40 Residents,,Devices adequate,Two or more current devices,Has more than three devices,,Ineligible,0
140000038,39,111.111.11.49,44092,1-1000000038,TRUE,FALSE,TRUE,44,0,More than 40 Residents,No current devices,,,,,Priority One,2
140000039,40,111.111.11.50,44092,1-1000000039,TRUE,FALSE,TRUE,10,4,Less than 40 Residents,,Devices adequate,,Has more than two devices,,Ineligible,0
140000040,41,111.111.11.51,44092,1-1000000040,TRUE,TRUE,TRUE,88,0,More than 40 Residents,No current devices,,,,,Priority One,2
140000041,42,111.111.11.52,44092,1-1000000041,FALSE,FALSE,TRUE,17,1,Less than 40 Residents,,Devices adequate,,Has less than two devices,Enough devices,Ineligible,0
140000042,43,111.111.11.53,44092,1-1000000042,FALSE,FALSE,TRUE,97,0,More than 40 Residents,No current devices,,,,,Priority One,2
140000043,44,111.111.11.54,44092,1-1000000043,FALSE,TRUE,FALSE,21,0,Less than 40 Residents,No current devices,,,,,Priority One,1
140000044,45,111.111.11.55,44092,1-1000000044,FALSE,FALSE,TRUE,99,4,More than 40 Residents,,Devices adequate,Two or more current devices,Has more than three devices,,Ineligible,0
140000045,46,111.111.11.56,44092,1-1000000045,TRUE,FALSE,FALSE,100,4,More than 40 Residents,,Devices adequate,Two or more current devices,Has more than three devices,,Ineligible,0
140000046,47,111.111.11.57,44092,1-1000000046,TRUE,FALSE,FALSE,26,2,Less than 40 Residents,,Devices adequate,,Has more than two devices,,Ineligible,0
140000047,48,111.111.11.58,44092,1-1000000047,TRUE,TRUE,FALSE,50,3,More than 40 Residents,,Devices adequate,Two or more current devices,Has more than three devices,,Ineligible,0
140000048,49,111.111.11.59,44092,1-1000000048,TRUE,FALSE,TRUE,39,1,Less than 40 Residents,,Devices adequate,,Has less than two devices,Enough devices,Ineligible,0
140000049,50,111.111.11.60,44092,1-1000000049,FALSE,FALSE,FALSE,74,4,More than 40 Residents,,Devices adequate,Two or more current devices,Has more than three devices,,Ineligible,0
140000050,51,111.111.11.61,44092,1-1000000050,FALSE,TRUE,TRUE,88,0,More than 40 Residents,No current devices,,,,,Priority One,2
140000051,52,111.111.11.62,44092,1-1000000051,TRUE,FALSE,FALSE,1,0,Less than 40 Residents,No current devices,,,,,Priority One,1
140000052,53,111.111.11.63,44092,1-1000000052,TRUE,FALSE,FALSE,67,4,More than 40 Residents,,Devices adequate,Two or more current devices,Has more than three devices,,Ineligible,0
140000053,54,111.111.11.64,44092,1-1000000053,TRUE,TRUE,FALSE,2,2,Less than 40 Residents,,Devices adequate,,Has more than two devices,,Ineligible,0
140000054,55,111.111.11.65,44092,1-1000000054,TRUE,FALSE,FALSE,71,4,More than 40 Residents,,Devices adequate,Two or more current devices,Has more than three devices,,Ineligible,0
140000055,56,111.111.11.66,44092,1-1000000055,FALSE,FALSE,FALSE,8,3,Less than 40 Residents,,Devices adequate,,Has more than two devices,,Ineligible,0
140000056,57,111.111.11.67,44092,1-1000000056,FALSE,FALSE,TRUE,50,2,More than 40 Residents,,Devices adequate,Two or more current devices,Has less than three devices,Enough devices,Ineligible,0
140000057,58,111.111.11.68,44092,1-1000000057,TRUE,FALSE,FALSE,45,0,More than 40 Residents,No current devices,,,,,Priority One,2
140000058,59,111.111.11.69,44092,1-1000000058,FALSE,FALSE,FALSE,89,4,More than 40 Residents,,Devices adequate,Two or more current devices,Has more than three devices,,Ineligible,0
140000059,60,111.111.11.70,44092,1-1000000059,TRUE,FALSE,FALSE,61,3,More than 40 Residents,,Devices adequate,Two or more current devices,Has more than three devices,,Ineligible,0
140000060,61,111.111.11.71,44092,1-1000000060,FALSE,FALSE,FALSE,99,0,More than 40 Residents,No current devices,,,,,Priority One,2
140000061,62,111.111.11.72,44092,1-1000000061,TRUE,FALSE,TRUE,73,0,More than 40 Residents,No current devices,,,,,Priority One,2
140000062,63,111.111.11.73,44092,1-1000000062,FALSE,TRUE,FALSE,76,0,More than 40 Residents,No current devices,,,,,Priority One,2
140000063,64,111.111.11.74,44092,1-1000000063,FALSE,TRUE,TRUE,85,4,More than 40 Residents,,Devices adequate,Two or more current devices,Has more than three devices,,Ineligible,0
140000064,65,111.111.11.75,44092,1-1000000064,FALSE,TRUE,FALSE,44,4,More than 40 Residents,,Devices adequate,Two or more current devices,Has more than three devices,,Ineligible,0
140000065,66,111.111.11.76,44092,1-1000000065,TRUE,TRUE,FALSE,28,4,Less than 40 Residents,,Devices adequate,,Has more than two devices,,Ineligible,0
140000066,67,111.111.11.77,44092,1-1000000066,FALSE,TRUE,FALSE,35,0,Less than 40 Residents,No current devices,,,,,Priority One,1
140000067,68,111.111.11.78,44092,1-1000000067,TRUE,TRUE,FALSE,15,3,Less than 40 Residents,,Devices adequate,,Has more than two devices,,Ineligible,0
140000068,69,111.111.11.79,44092,1-1000000068,TRUE,TRUE,TRUE,68,4,More than 40 Residents,,Devices adequate,Two or more current devices,Has more than three devices,,Ineligible,0
140000069,70,111.111.11.80,44092,1-1000000069,FALSE,FALSE,TRUE,86,0,More than 40 Residents,No current devices,,,,,Priority One,2
140000070,71,111.111.11.81,44092,1-1000000070,TRUE,FALSE,FALSE,11,2,Less than 40 Residents,,Devices adequate,,Has more than two devices,,Ineligible,0
140000071,72,111.111.11.82,44092,1-1000000071,TRUE,TRUE,FALSE,18,3,Less than 40 Residents,,Devices adequate,,Has more than two devices,,Ineligible,0
140000072,73,111.111.11.83,44092,1-1000000072,FALSE,TRUE,TRUE,54,2,More than 40 Residents,,Devices adequate,Two or more current devices,Has less than three devices,Enough devices,Ineligible,0
140000073,74,111.111.11.84,44092,1-1000000073,TRUE,TRUE,FALSE,42,1,More than 40 Residents,,Devices adequate,Only one Current Device,,,Priority One,1
140000074,75,111.111.11.85,44092,1-1000000074,FALSE,TRUE,FALSE,30,3,Less than 40 Residents,,Devices adequate,,Has more than two devices,,Ineligible,0
140000075,76,111.111.11.86,44092,1-1000000075,FALSE,FALSE,FALSE,85,3,More than 40 Residents,,Devices adequate,Two or more current devices,Has more than three devices,,Ineligible,0
140000076,77,111.111.11.87,44092,1-1000000076,FALSE,TRUE,TRUE,72,3,More than 40 Residents,,Devices adequate,Two or more current devices,Has more than three devices,,Ineligible,0
140000077,78,111.111.11.88,44092,1-1000000077,TRUE,FALSE,TRUE,5,0,Less than 40 Residents,No current devices,,,,,Priority One,1
140000078,79,111.111.11.89,44092,1-1000000078,FALSE,TRUE,FALSE,62,1,More than 40 Residents,,Devices adequate,Only one Current Device,,,Priority One,1
140000079,80,111.111.11.90,44092,1-1000000079,TRUE,TRUE,FALSE,44,2,More than 40 Residents,,Devices adequate,Two or more current devices,Has less than three devices,Enough devices,Ineligible,0
140000080,81,111.111.11.91,44092,1-1000000080,TRUE,FALSE,FALSE,81,2,More than 40 Residents,,Devices adequate,Two or more current devices,Has less than three devices,Enough devices,Ineligible,0
140000081,82,111.111.11.92,44092,1-1000000081,FALSE,FALSE,TRUE,18,0,Less than 40 Residents,No current devices,,,,,Priority One,1
140000082,83,111.111.11.93,44092,1-1000000082,FALSE,TRUE,TRUE,96,4,More than 40 Residents,,Devices adequate,Two or more current devices,Has more than three devices,,Ineligible,0
140000083,84,111.111.11.94,44092,1-1000000083,TRUE,FALSE,FALSE,90,3,More than 40 Residents,,Devices adequate,Two or more current devices,Has more than three devices,,Ineligible,0
140000084,85,111.111.11.95,44092,1-1000000084,TRUE,TRUE,FALSE,1,4,Less than 40 Residents,,Devices adequate,,Has more than two devices,,Ineligible,0
140000085,86,111.111.11.96,44092,1-1000000085,TRUE,TRUE,TRUE,78,4,More than 40 Residents,,Devices adequate,Two or more current devices,Has more than three devices,,Ineligible,0
140000086,87,111.111.11.97,44092,1-1000000086,FALSE,FALSE,TRUE,79,4,More than 40 Residents,,Devices adequate,Two or more current devices,Has more than three devices,,Ineligible,0
140000087,88,111.111.11.98,44092,1-1000000087,FALSE,FALSE,TRUE,20,0,Less than 40 Residents,No current devices,,,,,Priority One,1
140000088,89,111.111.11.99,44092,1-1000000088,FALSE,FALSE,FALSE,89,0,More than 40 Residents,No current devices,,,,,Priority One,2
140000089,90,111.111.11.100,44092,1-1000000089,FALSE,TRUE,TRUE,65,4,More than 40 Residents,,Devices adequate,Two or more current devices,Has more than three devices,,Ineligible,0
140000090,91,111.111.11.101,44092,1-1000000090,TRUE,TRUE,TRUE,26,4,Less than 40 Residents,,Devices adequate,,Has more than two devices,,Ineligible,0
140000091,92,111.111.11.102,44092,1-1000000091,TRUE,TRUE,FALSE,83,1,More than 40 Residents,,Devices adequate,Only one Current Device,,,Priority One,1
140000092,93,111.111.11.103,44092,1-1000000092,TRUE,TRUE,TRUE,53,4,More than 40 Residents,,Devices adequate,Two or more current devices,Has more than three devices,,Ineligible,0
140000093,94,111.111.11.104,44092,1-1000000093,TRUE,TRUE,TRUE,1,2,Less than 40 Residents,,Devices adequate,,Has more than two devices,,Ineligible,0
140000094,95,111.111.11.105,44092,1-1000000094,FALSE,FALSE,TRUE,17,1,Less than 40 Residents,,Devices adequate,,Has less than two devices,Enough devices,Ineligible,0
140000095,96,111.111.11.106,44092,1-1000000095,FALSE,TRUE,FALSE,6,4,Less than 40 Residents,,Devices adequate,,Has more than two devices,,Ineligible,0
140000096,97,111.111.11.107,44092,1-1000000096,FALSE,FALSE,FALSE,76,4,More than 40 Residents,,Devices adequate,Two or more current devices,Has more than three devices,,Ineligible,0
140000097,98,111.111.11.108,44092,1-1000000097,FALSE,FALSE,FALSE,47,1,More than 40 Residents,,Devices adequate,Only one Current Device,,,Priority One,1
140000098,99,111.111.11.109,44092,1-1000000098,TRUE,FALSE,TRUE,74,4,More than 40 Residents,,Devices adequate,Two or more current devices,Has more than three devices,,Ineligible,0
140000099,100,111.111.11.110,44092,1-1000000099,TRUE,FALSE,TRUE,69,3,More than 40 Residents,,Devices adequate,Two or more current devices,Has more than three devices,,Ineligible,0
140000100,101,111.111.11.111,44092,1-1000000100,TRUE,TRUE,TRUE,33,4,Less than 40 Residents,,Devices adequate,,Has more than two devices,,Ineligible,0
140000101,102,111.111.11.112,44092,1-1000000101,TRUE,FALSE,FALSE,4,0,Less than 40 Residents,No current devices,,,,,Priority One,1
140000102,103,111.111.11.113,44092,1-1000000102,FALSE,TRUE,FALSE,80,2,More than 40 Residents,,Devices adequate,Two or more current devices,Has less than three devices,Enough devices,Ineligible,0
140000103,104,111.111.11.114,44092,1-1000000103,FALSE,FALSE,FALSE,76,2,More than 40 Residents,,Devices adequate,Two or more current devices,Has less than three devices,Enough devices,Ineligible,0
140000104,105,111.111.11.115,44092,1-1000000104,TRUE,TRUE,FALSE,18,1,Less than 40 Residents,,Devices adequate,,Has less than two devices,Enough devices,Ineligible,0
140000105,106,111.111.11.116,44092,1-1000000105,TRUE,FALSE,FALSE,86,3,More than 40 Residents,,Devices adequate,Two or more current devices,Has more than three devices,,Ineligible,0
140000106,107,111.111.11.117,44092,1-1000000106,FALSE,TRUE,TRUE,40,1,More than 40 Residents,,Devices adequate,Only one Current Device,,,Priority One,1
140000107,108,111.111.11.118,44092,1-1000000107,TRUE,FALSE,FALSE,56,0,More than 40 Residents,No current devices,,,,,Priority One,2
140000108,109,111.111.11.119,44092,1-1000000108,TRUE,FALSE,FALSE,57,4,More than 40 Residents,,Devices adequate,Two or more current devices,Has more than three devices,,Ineligible,0
140000109,110,111.111.11.120,44092,1-1000000109,FALSE,TRUE,FALSE,41,4,More than 40 Residents,,Devices adequate,Two or more current devices,Has more than three devices,,Ineligible,0
140000110,111,111.111.11.121,44092,1-1000000110,TRUE,FALSE,FALSE,22,4,Less than 40 Residents,,Devices adequate,,Has more than two devices,,Ineligible,0
140000111,112,111.111.11.122,44092,1-1000000111,FALSE,FALSE,FALSE,65,3,More than 40 Residents,,Devices adequate,Two or more current devices,Has more than three devices,,Ineligible,0
140000112,113,111.111.11.123,44092,1-1000000112,FALSE,FALSE,FALSE,20,4,Less than 40 Residents,,Devices adequate,,Has more than two devices,,Ineligible,0
140000113,114,111.111.11.124,44092,1-1000000113,TRUE,TRUE,FALSE,13,2,Less than 40 Residents,,Devices adequate,,Has more than two devices,,Ineligible,0
140000114,115,111.111.11.125,44092,1-1000000114,FALSE,TRUE,TRUE,42,1,More than 40 Residents,,Devices adequate,Only one Current Device,,,Priority One,1
140000115,116,111.111.11.126,44092,1-1000000115,FALSE,TRUE,TRUE,96,3,More than 40 Residents,,Devices adequate,Two or more current devices,Has more than three devices,,Ineligible,0
140000116,117,111.111.11.127,44092,1-1000000116,TRUE,FALSE,FALSE,45,0,More than 40 Residents,No current devices,,,,,Priority One,2
140000117,118,111.111.11.128,44092,1-1000000117,FALSE,TRUE,FALSE,94,1,More than 40 Residents,,Devices adequate,Only one Current Device,,,Priority One,1
140000118,119,111.111.11.129,44092,1-1000000118,TRUE,FALSE,TRUE,68,1,More than 40 Residents,,Devices adequate,Only one Current Device,,,Priority One,1
140000119,120,111.111.11.130,44092,1-1000000119,TRUE,FALSE,TRUE,44,4,More than 40 Residents,,Devices adequate,Two or more current devices,Has more than three devices,,Ineligible,0
140000120,121,111.111.11.131,44092,1-1000000120,TRUE,FALSE,FALSE,70,4,More than 40 Residents,,Devices adequate,Two or more current devices,Has more than three devices,,Ineligible,0
140000121,122,111.111.11.132,44092,1-1000000121,FALSE,FALSE,FALSE,93,3,More than 40 Residents,,Devices adequate,Two or more current devices,Has more than three devices,,Ineligible,0
140000122,123,111.111.11.133,44092,1-1000000122,FALSE,FALSE,TRUE,80,0,More than 40 Residents,No current devices,,,,,Priority One,2
140000123,124,111.111.11.134,44092,1-1000000123,TRUE,FALSE,FALSE,88,0,More than 40 Residents,No current devices,,,,,Priority One,2
140000124,125,111.111.11.135,44092,1-1000000124,FALSE,FALSE,TRUE,18,2,Less than 40 Residents,,Devices adequate,,Has more than two devices,,Ineligible,0
140000125,126,111.111.11.136,44092,1-1000000125,FALSE,FALSE,TRUE,13,3,Less than 40 Residents,,Devices adequate,,Has more than two devices,,Ineligible,0
140000126,127,111.111.11.137,44092,1-1000000126,FALSE,TRUE,FALSE,17,2,Less than 40 Residents,,Devices adequate,,Has more than two devices,,Ineligible,0
140000127,128,111.111.11.138,44092,1-1000000127,FALSE,TRUE,TRUE,40,2,More than 40 Residents,,Devices adequate,Two or more current devices,Has less than three devices,Enough devices,Ineligible,0
140000128,129,111.111.11.139,44092,1-1000000128,TRUE,TRUE,TRUE,0,1,Less than 40 Residents,,Devices adequate,,Has less than two devices,Enough devices,Ineligible,0
140000129,130,111.111.11.140,44092,1-1000000129,TRUE,TRUE,TRUE,57,1,More than 40 Residents,,Devices adequate,Only one Current Device,,,Priority One,1
140000130,131,111.111.11.141,44092,1-1000000130,FALSE,TRUE,FALSE,19,3,Less than 40 Residents,,Devices adequate,,Has more than two devices,,Ineligible,0
140000131,132,111.111.11.142,44092,1-1000000131,FALSE,FALSE,FALSE,19,0,Less than 40 Residents,No current devices,,,,,Priority One,1
140000132,133,111.111.11.143,44092,1-1000000132,FALSE,FALSE,FALSE,11,0,Less than 40 Residents,No current devices,,,,,Priority One,1
140000133,134,111.111.11.144,44092,1-1000000133,FALSE,TRUE,TRUE,12,4,Less than 40 Residents,,Devices adequate,,Has more than two devices,,Ineligible,0
140000134,135,111.111.11.145,44092,1-1000000134,TRUE,FALSE,TRUE,60,2,More than 40 Residents,,Devices adequate,Two or more current devices,Has less than three devices,Enough devices,Ineligible,0
140000135,136,111.111.11.146,44092,1-1000000135,TRUE,TRUE,FALSE,73,2,More than 40 Residents,,Devices adequate,Two or more current devices,Has less than three devices,Enough devices,Ineligible,0
140000136,137,111.111.11.147,44092,1-1000000136,FALSE,FALSE,FALSE,70,1,More than 40 Residents,,Devices adequate,Only one Current Device,,,Priority One,1
140000137,138,111.111.11.148,44092,1-1000000137,TRUE,FALSE,FALSE,50,3,More than 40 Residents,,Devices adequate,Two or more current devices,Has more than three devices,,Ineligible,0
140000138,139,111.111.11.149,44092,1-1000000138,TRUE,FALSE,FALSE,60,2,More than 40 Residents,,Devices adequate,Two or more current devices,Has less than three devices,Enough devices,Ineligible,0
140000139,140,111.111.11.150,44092,1-1000000139,TRUE,TRUE,FALSE,18,1,Less than 40 Residents,,Devices adequate,,Has less than two devices,Enough devices,Ineligible,0
140000140,141,111.111.11.151,44092,1-1000000140,FALSE,FALSE,FALSE,39,3,Less than 40 Residents,,Devices adequate,,Has more than two devices,,Ineligible,0
140000141,142,111.111.11.152,44092,1-1000000141,FALSE,FALSE,TRUE,53,4,More than 40 Residents,,Devices adequate,Two or more current devices,Has more than three devices,,Ineligible,0
140000142,143,111.111.11.153,44092,1-1000000142,FALSE,TRUE,TRUE,79,1,More than 40 Residents,,Devices adequate,Only one Current Device,,,Priority One,1
140000143,144,111.111.11.154,44092,1-1000000143,TRUE,TRUE,TRUE,90,0,More than 40 Residents,No current devices,,,,,Priority One,2
140000144,145,111.111.11.155,44092,1-1000000144,TRUE,FALSE,FALSE,15,3,Less than 40 Residents,,Devices adequate,,Has more than two devices,,Ineligible,0
140000145,146,111.111.11.156,44092,1-1000000145,TRUE,FALSE,TRUE,89,4,More than 40 Residents,,Devices adequate,Two or more current devices,Has more than three devices,,Ineligible,0
140000146,147,111.111.11.157,44092,1-1000000146,FALSE,TRUE,TRUE,75,3,More than 40 Residents,,Devices adequate,Two or more current devices,Has more than three devices,,Ineligible,0
140000147,148,111.111.11.158,44092,1-1000000147,FALSE,FALSE,FALSE,96,4,More than 40 Residents,,Devices adequate,Two or more current devices,Has more than three devices,,Ineligible,0
140000148,149,111.111.11.159,44092,1-1000000148,TRUE,TRUE,FALSE,11,3,Less than 40 Residents,,Devices adequate,,Has more than two devices,,Ineligible,0
140000149,150,111.111.11.160,44092,1-1000000149,TRUE,TRUE,TRUE,39,2,Less than 40 Residents,,Devices adequate,,Has more than two devices,,Ineligible,0
140000150,151,111.111.11.161,44092,1-1000000150,FALSE,FALSE,TRUE,97,0,More than 40 Residents,No current devices,,,,,Priority One,2
140000151,152,111.111.11.162,44092,1-1000000151,TRUE,TRUE,TRUE,22,4,Less than 40 Residents,,Devices adequate,,Has more than two devices,,Ineligible,0
140000152,153,111.111.11.163,44092,1-1000000152,FALSE,FALSE,FALSE,72,4,More than 40 Residents,,Devices adequate,Two or more current devices,Has more than three devices,,Ineligible,0
140000153,154,111.111.11.164,44092,1-1000000153,TRUE,TRUE,FALSE,31,1,Less than 40 Residents,,Devices adequate,,Has less than two devices,Enough devices,Ineligible,0
140000154,155,111.111.11.165,44092,1-1000000154,FALSE,TRUE,TRUE,96,0,More than 40 Residents,No current devices,,,,,Priority One,2
140000155,156,111.111.11.166,44092,1-1000000155,FALSE,FALSE,FALSE,91,4,More than 40 Residents,,Devices adequate,Two or more current devices,Has more than three devices,,Ineligible,0
140000156,157,111.111.11.167,44092,1-1000000156,FALSE,FALSE,TRUE,92,2,More than 40 Residents,,Devices adequate,Two or more current devices,Has less than three devices,Enough devices,Ineligible,0
140000157,158,111.111.11.168,44092,1-1000000157,TRUE,TRUE,TRUE,26,4,Less than 40 Residents,,Devices adequate,,Has more than two devices,,Ineligible,0
140000158,159,111.111.11.169,44092,1-1000000158,FALSE,TRUE,TRUE,54,0,More than 40 Residents,No current devices,,,,,Priority One,2
140000159,160,111.111.11.170,44092,1-1000000159,TRUE,FALSE,FALSE,31,1,Less than 40 Residents,,Devices adequate,,Has less than two devices,Enough devices,Ineligible,0
140000160,161,111.111.11.171,44092,1-1000000160,TRUE,TRUE,TRUE,18,1,Less than 40 Residents,,Devices adequate,,Has less than two devices,Enough devices,Ineligible,0
140000161,162,111.111.11.172,44092,1-1000000161,FALSE,TRUE,TRUE,90,4,More than 40 Residents,,Devices adequate,Two or more current devices,Has more than three devices,,Ineligible,0
140000162,163,111.111.11.173,44092,1-1000000162,FALSE,FALSE,FALSE,20,2,Less than 40 Residents,,Devices adequate,,Has more than two devices,,Ineligible,0
140000163,164,111.111.11.174,44092,1-1000000163,FALSE,FALSE,FALSE,96,3,More than 40 Residents,,Devices adequate,Two or more current devices,Has more than three devices,,Ineligible,0
140000164,165,111.111.11.175,44092,1-1000000164,TRUE,TRUE,FALSE,56,0,More than 40 Residents,No current devices,,,,,Priority One,2
140000165,166,111.111.11.176,44092,1-1000000165,TRUE,FALSE,FALSE,9,0,Less than 40 Residents,No current devices,,,,,Priority One,1
140000166,167,111.111.11.177,44092,1-1000000166,FALSE,TRUE,FALSE,79,0,More than 40 Residents,No current devices,,,,,Priority One,2
140000167,168,111.111.11.178,44092,1-1000000167,FALSE,FALSE,TRUE,59,2,More than 40 Residents,,Devices adequate,Two or more current devices,Has less than three devices,Enough devices,Ineligible,0
140000168,169,111.111.11.179,44092,1-1000000168,TRUE,TRUE,TRUE,26,1,Less than 40 Residents,,Devices adequate,,Has less than two devices,Enough devices,Ineligible,0
